timestamp,sensor_id,temperature,humidity,co2
2025-09-01 08:00:00,Sensor_A,21.5,45,420
2025-09-01 08:00:00,Sensor_B,23.1,50,450
2025-09-01 08:00:00,Sensor_C,22.8,48,440
2025-09-01 09:00:00,Sensor_A,22.0,46,425
2025-09-01 09:00:00,Sensor_B,24.0,52,460
2025-09-01 09:00:00,Sensor_C,23.4,49,445
2025-09-01 10:00:00,Sensor_A,22.7,47,430
2025-09-01 10:00:00,Sensor_B,24.5,53,470
2025-09-01 10:00:00,Sensor_C,23.9,50,455
2025-09-01 11:00:00,Sensor_A,23.0,48,435
2025-09-01 11:00:00,Sensor_B,25.0,55,475
2025-09-01 11:00:00,Sensor_C,24.2,51,460
